filenames,max_err,max_temp,obs_int,observation,chs,ohs,ohs_int
OE-LCO-6490mAh-60SOC,347.42364501953125,53.93946,4,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",,,-1
OE-LCO-6270mAh-40SOC,1011.5703125,60.47536,4,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",35.1,Moderate,2
OE-LCO-6500mAh-20SOC,4712.80126953125,97.44041,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",43.0,Moderate,2
OE-LCO-6560mAh-0SOC,11049.0419921875,133.9798,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",34.3,Moderate,2
OE-LCO-6550mAh-20SOC,2030.1041259765625,78.7906,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
OE-LCO-6500mAh-40SOC,681.4725341796875,60.3199,4,"Moderate effect, extended joule heating, local reactions (limited spread) – 4",,,-1
OE-LCO-6340mAh-0SOC,5959.7314453125,105.8417,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
OE-LCO-6400mAh-20SOC,2457.23291015625,78.06942,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
Soteria-SCC-5070-70SOC,32.77681350708008,26.74982,1,"No effect, instant local Joule heating, no internal discharge – 1",,,-1
OE-LFP10Ah-0SOC-cell9,517.7244873046875,51.22772,2,"No effect, local heating, internal discharge – 2",13.8,Low,1
OE-LFP10Ah-0SOC-cell10,201.63858032226562,42.66866,2,"No effect, local heating, internal discharge – 2",,,-1
OE-LFP10Ah-40SOC-cell7,842.892578125,57.59005,2,"No effect, local heating, internal discharge – 2",27.1,Moderate,2
OE-LFP10Ah-40SOC-cell8,4776.58251953125,97.76741,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",,,-1
OE-LFP10Ah-70SOC-cell5,659.9166259765625,54.06875,2,"No effect, local heating, internal discharge – 2",,,-1
OE-LFP10Ah-70SOC-cell6,166.50376892089844,41.33279,2,"No effect, local heating, internal discharge – 2",,,-1
OE-LFP10Ah-80SOC-cell3,632.57958984375,53.53308,3,"Moderate effect, extended joule heating, local reactions (no spread) – 3",39.2,Moderate,2
